component,load_N,temperature_C,material_type,stress_Pa,strain,yield_point_Pa,safety_factor
coupling,9512.071633,737.354063,chromium,1578316.766,5.66E-06,154215312.3,97.70872085
coupling,1644.345751,36.26341141,aluminium,189546.7996,2.71E-06,134890245.2,711.6461241
bearing,303.7864935,582.5477143,titanium,36420.07671,3.31E-07,171815357.2,4717.600091
pulley,1900.067175,71.35326276,aluminium,610561.7838,8.72E-06,120269473.9,196.9816602
pulley,4376.255685,43.29833122,abs_plastic,710737.605,0.000355369,25567222.93,35.9728017
piston,9740.179637,248.1159136,chromium,9769451.827,3.50E-05,317294695.5,32.47824966
cam,3886.373714,590.2739138,titanium,823218.1103,7.48E-06,162157607.8,196.9801269
spring,6835.044632,281.2895661,titanium,29547607.54,0.000268615,548388042.3,18.55947361
valve_body,5676.553357,397.7081725,chromium,21996526.56,7.88E-05,267430609.2,12.15785631
shaft,2486.152114,689.5982484,chromium,404978.9076,1.45E-06,170133917.2,420.1056253
flange,9102.271981,170.0923893,titanium,1366918.779,1.24E-05,687384513.3,502.8715122
shaft,5720.233245,28.76772189,aluminium,677863.6485,9.68E-06,138013449.2,203.6006054
bracket,4011.987336,279.4644824,aluminium,549587.8515,7.85E-06,33556465.66,61.05750985
housing,547.7501602,338.8237241,chromium,138744.508,4.97E-07,287058758.6,2068.973848
shaft,5908.83654,97.22042458,abs_plastic,967133.4902,0.000483567,7593191.806,7.851234482
lever,3033.107706,148.9082125,steel,11903856.46,5.95E-05,211221819.7,17.74398241
valve_body,2067.285247,24.30725136,steel,252938.702,1.26E-06,243669986.6,963.355883
gear,7922.737851,371.4567854,titanium,854629.3641,7.77E-06,435679018.3,509.787092
piston,9158.100788,683.0300907,steel,2012963.324,1.01E-05,72127580.55,35.83154234
gear,7323.101166,71.00459771,abs_plastic,824357.3513,0.000412179,16331800.76,19.81155471
gear,1283.983035,433.6819766,titanium,168241.7973,1.53E-06,357897529.3,2127.280705
piston,5275.055011,267.9737906,titanium,15000894.9,0.000136372,565032761.7,37.6666036
lever,411.1489383,389.1180385,titanium,127999.0782,1.16E-06,413602451.8,3231.292425
bearing,2567.993069,52.83063384,abs_plastic,338787.3197,0.000169394,22389788.72,66.08803641
bearing,862.1011073,43.18011623,abs_plastic,508287.1364,0.000254144,25606627.92,50.37827261
shaft,8100.391758,197.3530518,aluminium,928149.9891,1.33E-05,67769561.74,73.01574373
bracket,1947.043583,894.7078185,chromium,357946.0996,1.28E-06,101764060.5,284.2999564
piston,3627.348597,908.6918727,chromium,1298212.864,4.65E-06,97102709.1,74.79721683
